,State,Registration Required,Permit to Carry Required,Permit to Purchase Required,Open Carry is Legal,Number of Registered Weapons,Incident Date,City Or County,Address,# Killed,# Injured
88,California,True,True,True,,"376,666",26-May-19,Stockton,600 block of E Oak St,1.0,3.0
89,California,True,True,True,,"376,666",18-May-19,Long Beach,1616 West Pacific Coast Highway,1.0,4.0
90,California,True,True,True,,"376,666",17-May-19,Sacramento,7326 Stockton Blvd,1.0,3.0
91,California,True,True,True,,"376,666",14-May-19,Los Angeles,1248 W 47th St,0.0,4.0
92,California,True,True,True,,"376,666",5-May-19,Oceano,1001 Cabrillo Hwy,0.0,6.0
93,California,True,True,True,,"376,666",4-May-19,Stockton,5105 Holiday Dr,1.0,4.0
94,California,True,True,True,,"376,666",27-Apr-19,Poway,16934 Chabad Way,1.0,3.0
95,California,True,True,True,,"376,666",27-Apr-19,Los Angeles,700 N San Fernando Rd,0.0,6.0
96,California,True,True,True,,"376,666",14-Apr-19,Stockton,2539 E Main St,0.0,4.0
97,California,True,True,True,,"376,666",14-Apr-19,Vallejo,100 block of Princeton Ave,1.0,3.0
98,California,True,True,True,,"376,666",13-Apr-19,Moreno Valley,23500 block of Alessandro Blvd,0.0,4.0
99,California,True,True,True,,"376,666",11-Apr-19,Los Angeles,E 103rd St and S Main St,1.0,4.0
100,California,True,True,True,,"376,666",24-Mar-19,San Francisco,1300 Fillmore St,1.0,5.0
101,California,True,True,True,,"376,666",3-Mar-19,Oakland,316 14th St,0.0,4.0
102,California,True,True,True,,"376,666",28-Feb-19,Oakland,9755 Edes Ave,1.0,3.0
103,California,True,True,True,,"376,666",3-Feb-19,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4.0,0.0
104,California,True,True,True,,"376,666",1-Feb-19,San Diego,6800 block of Springfield St,0.0,4.0
105,California,True,True,True,,"376,666",16-Jan-19,Palmdale,Ranch Center Dr and 40th St W,3.0,1.0
106,California,True,True,True,,"376,666",4-Jan-19,Torrance,22501 Hawthorne Blvd,3.0,4.0
107,Wyoming,False,False,False,True,"134,050",16-Sep-19,Cheyenne,3436 E. 11th St,2.0,2.0
108,Wisconsin,False,True,False,True,"79,639",29-Sep-19,Milwaukee,1500 block of N 29th St,0.0,4.0
109,Wisconsin,False,True,False,True,"79,639",28-Jul-19,Chippewa Falls,16964 54th Ave,5.0,2.0
110,Wisconsin,False,True,False,True,"79,639",26-Jun-19,Milwaukee,2800 block of N 34th St,0.0,4.0
111,West Virginia,False,False,False,True,"41,651",,,,,
112,Virginia,False,True,False,True,"356,963",25-Dec-19,Richmond,1800 E Main St,1.0,3.0
113,Virginia,False,True,False,True,"356,963",10-Aug-19,Richmond,6346 Midlothian Turnpike,0.0,4.0
114,Virginia,False,True,False,True,"356,963",2-Aug-19,Suffolk,200 block of N Broad St,2.0,3.0
115,Virginia,False,True,False,True,"356,963",22-Jun-19,Hampton,1st St and E Pembroke Ave,0.0,4.0
116,Virginia,False,True,False,True,"356,963",1-Jun-19,Portsmouth,1100 block of Mt Vernon Ave,1.0,3.0
117,Virginia,False,True,False,True,"356,963",31-May-19,Virginia Beach,2405 Courthouse Drive,13.0,4.0
118,Virginia,False,True,False,True,"356,963",26-May-19,La Crosse,800 block of Alvis Road,0.0,5.0
119,Virginia,False,True,False,True,"356,963",25-May-19,Chesapeake,Holly Cove Dr and Schooner Trail,1.0,9.0
120,Virginia,False,True,False,True,"356,963",9-Feb-19,Petersburg,109 Perry St,0.0,4.0
121,Virginia,False,True,False,True,"356,963",4-Jan-19,Hurt,3197 Shula Dr,3.0,2.0
122,Vermont,False,False,False,True,"7,716",,,,,
123,Utah,False,True,False,True,"93,440",,,,,
124,Texas,False,True,False,True,"725,368",27-Dec-19,Houston,500 block of Smart St,2.0,7.0
125,Texas,False,True,False,True,"725,368",18-Dec-19,San Antonio,2418 SW Military Dr,0.0,4.0
126,Texas,False,True,False,True,"725,368",8-Dec-19,Desoto,200 block of W Wintergreen Rd,2.0,3.0
127,Texas,False,True,False,True,"725,368",29-Nov-19,Amarillo,2650 Dumas Dr,0.0,7.0
128,Texas,False,True,False,True,"725,368",4-Nov-19,Houston,5000 block of Northridge Dr,1.0,4.0
129,Texas,False,True,False,True,"725,368",3-Nov-19,Nacogdoches,Sandyland Cir and CR 823,1.0,3.0
130,Texas,False,True,False,True,"725,368",1-Nov-19,San Angelo,1616 S Chadbourne St,0.0,4.0
131,Texas,False,True,False,True,"725,368",26-Oct-19,Greenville,2275 US-380,2.0,6.0
132,Texas,False,True,False,True,"725,368",20-Oct-19,Port Arthur,1100 block of Vicksburg Ave,1.0,3.0
133,Texas,False,True,False,True,"725,368",19-Oct-19,El Paso,3812 Truman Ave,1.0,4.0
134,Texas,False,True,False,True,"725,368",29-Sep-19,Beaumont,4100 block of Highland Ave,4.0,0.0
135,Texas,False,True,False,True,"725,368",31-Aug-19,Odessa,8250 TX 191,8.0,23.0
136,Texas,False,True,False,True,"725,368",23-Aug-19,Houston,4900 block of Southwind St,3.0,2.0
137,Texas,False,True,False,True,"725,368",17-Aug-19,Houston,12500 block of Mylla St,0.0,6.0
138,Texas,False,True,False,True,"725,368",3-Aug-19,El Paso,7101 Gateway Blvd,22.0,24.0
139,Texas,False,True,False,True,"725,368",17-Jul-19,Lubbock,N Elder Ave and E Colgate St,1.0,3.0
